player,shirtnumber,nationality,position,age,minutes,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,home,game_id
Lewis Dunk,5,engENG,CB,33-268,90,101,12,67,33,1,1,101,1,1,100.0,0,0.0,60,204,70,0,0,0,2,0,72,0,True,Brighton_Fulham_20250816
Jan Paul van Hecke,6,nlNED,CB,25-069,90,91,5,50,39,2,0,91,0,0,,0,,61,377,237,0,0,0,0,0,68,0,True,Brighton_Fulham_20250816
Mats Wieffer,27,nlNED,RB,25-273,90,62,5,24,26,12,3,62,0,0,,0,,18,93,70,0,1,0,0,2,28,3,True,Brighton_Fulham_20250816
Bart Verbruggen,1,nlNED,GK,22-363,90,44,26,44,0,0,0,44,0,0,,0,,32,98,46,0,0,0,0,0,35,0,True,Brighton_Fulham_20250816
Raúl Jiménez,7,mxMEX,FW,34-103,65,19,1,2,11,6,2,19,0,0,,0,,13,27,2,0,0,0,2,1,16,2,False,Brighton_Fulham_20250816
Rodrigo Muniz,9,brBRA,FW,24-104,25,7,0,0,5,2,1,7,0,0,,0,,4,13,9,0,0,0,1,0,5,0,False,Brighton_Fulham_20250816
Alex Iwobi,17,ngNGA,LW,29-105,65,35,2,3,14,19,0,35,3,1,33.3,1,33.3,29,202,100,5,3,0,2,1,29,9,False,Brighton_Fulham_20250816
Adama Traoré,11,esESP,"LW,RW",29-203,25,9,0,0,3,6,0,9,2,0,0.0,1,50.0,5,37,24,1,0,0,1,0,6,3,False,Brighton_Fulham_20250816
Harry Wilson,8,wlsWAL,"RW,LW",28-147,90,28,0,4,13,11,4,28,2,1,50.0,1,50.0,19,108,58,2,0,1,2,1,20,6,False,Brighton_Fulham_20250816
Joshua King,24,engENG,AM,18-225,76,32,0,3,13,17,6,32,1,0,0.0,1,100.0,21,208,119,3,3,0,1,3,24,4,False,Brighton_Fulham_20250816
Emile Smith Rowe,32,engENG,AM,25-019,14,13,0,0,6,7,0,13,1,0,0.0,1,100.0,8,34,20,0,1,0,1,0,10,1,False,Brighton_Fulham_20250816
Sander Berge,16,noNOR,DM,27-183,65,27,1,7,18,2,0,27,0,0,,0,,15,70,37,1,1,0,0,0,17,0,False,Brighton_Fulham_20250816
Tom Cairney,10,sctSCO,DM,34-208,25,22,1,7,11,4,0,22,2,0,0.0,2,100.0,17,68,15,0,1,0,1,1,18,1,False,Brighton_Fulham_20250816
Saša Lukić,20,rsSRB,DM,29-003,90,45,4,13,24,9,1,45,2,1,50.0,0,0.0,24,114,64,2,1,0,0,2,31,2,False,Brighton_Fulham_20250816
Calvin Bassey,3,ngNGA,"LB,CB",25-228,90,75,1,35,32,8,0,75,2,1,50.0,1,50.0,45,185,90,1,1,0,0,2,49,1,False,Brighton_Fulham_20250816
Jorge Cuenca,15,esESP,CB,25-272,83,60,8,38,19,3,2,60,0,0,,0,,48,124,56,0,1,0,0,0,48,0,False,Brighton_Fulham_20250816
Timothy Castagne,21,beBEL,LB,29-254,7,8,0,1,2,5,1,8,0,0,,0,,3,7,4,0,0,0,0,0,5,1,False,Brighton_Fulham_20250816
Joachim Andersen,5,dkDEN,CB,29-077,90,63,6,31,27,5,2,63,1,1,100.0,0,0.0,31,135,64,0,1,0,0,0,38,0,False,Brighton_Fulham_20250816
Kenny Tete,2,nlNED,RB,29-311,90,49,6,18,26,5,0,49,2,0,0.0,0,0.0,26,105,48,1,0,0,0,0,24,2,False,Brighton_Fulham_20250816
Bernd Leno,1,deGER,GK,33-165,90,54,47,54,0,0,0,54,0,0,,0,,39,151,71,0,0,0,0,0,34,0,False,Brighton_Fulham_20250816
Richarlison,9,brBRA,FW,28-098,70,21,3,5,8,9,6,21,2,2,100.0,0,0.0,12,40,19,0,0,0,3,0,12,0,True,Tottenham_Burnley_20250816
Dominic Solanke,19,engENG,FW,27-336,20,6,1,2,1,3,2,6,0,0,,0,,3,7,1,0,0,0,1,0,4,2,True,Tottenham_Burnley_20250816
Brennan Johnson,22,wlsWAL,LW,24-085,79,27,1,2,7,18,2,27,0,0,,0,,17,131,72,4,1,1,1,0,20,8,True,Tottenham_Burnley_20250816
Wilson Odobert,28,frFRA,"RW,LW",20-261,11,4,0,1,0,3,0,4,0,0,,0,,2,8,7,0,0,0,1,0,4,2,True,Tottenham_Burnley_20250816
